user_id,item_id,rating
503,204,-1.0
795,185,-1.0
42,403,-1.0
327,740,-1.0
285,98,-1.0
279,11,-1.0
496,588,-1.0
499,266,-1.0
357,126,-1.0
932,182,-1.0
821,430,-1.0
215,256,-1.0
667,309,-1.0
0,113,-1.0
881,930,-1.0
94,384,-1.0
395,404,-1.0
681,292,-1.0
467,213,-1.0
536,425,-1.0
248,175,-1.0
177,130,-1.0
541,788,-1.0
751,688,-1.0
60,676,-1.0
196,209,-1.0
150,423,-1.0
692,289,-1.0
846,94,-1.0
333,503,-1.0
882,29,-1.0
248,49,-1.0
150,229,-1.0
845,1,-1.0
345,710,-1.0
3,269,-1.0
150,937,-1.0
541,583,-1.0
10,289,-1.0
416,418,-1.0
284,284,-1.0
902,407,-1.0
406,272,-1.0
454,196,-1.0
347,106,-1.0
895,468,-1.0
467,473,-1.0
108,177,-1.0
552,659,-1.0
275,352,-1.0
787,0,-1.0
483,649,-1.0
620,582,-1.0
552,21,-1.0
188,845,-1.0
591,461,-1.0
84,270,-1.0
771,877,-1.0
406,188,-1.0
781,257,-1.0
591,290,-1.0
565,135,-1.0
561,193,-1.0
296,96,-1.0
454,192,-1.0
327,299,-1.0
427,986,-1.0
330,733,-1.0
405,785,-1.0
150,626,-1.0
101,749,-1.0
179,152,-1.0
55,231,-1.0
567,1123,-1.0
786,244,-1.0
912,287,-1.0
553,864,-1.0
24,966,-1.0
758,589,-1.0
935,453,-1.0
503,771,-1.0
587,97,-1.0
310,49,-1.0
770,113,-1.0
151,142,-1.0
446,735,-1.0
532,818,-1.0
199,399,-1.0
565,386,-1.0
232,192,-1.0
398,1040,-1.0
346,316,-1.0
0,167,-1.0
57,509,-1.0
150,1037,-1.0
294,160,-1.0
304,790,-1.0
665,47,-1.0
673,287,-1.0
505,878,-1.0
891,80,-1.0
726,143,-1.0
898,95,-1.0
859,272,-1.0
416,382,-1.0
609,286,-1.0
916,120,-1.0
906,1117,-1.0
415,72,-1.0
877,136,-1.0
639,768,-1.0
388,132,-1.0
496,1553,-1.0
416,173,-1.0
832,261,-1.0
428,533,-1.0
534,486,-1.0
471,390,-1.0
659,1137,-1.0
279,417,-1.0
188,1019,-1.0
478,201,-1.0
221,1009,-1.0
84,480,-1.0
746,724,-1.0
478,197,-1.0
560,700,-1.0
696,234,-1.0
938,117,-1.0
757,251,-1.0
681,187,-1.0
513,23,-1.0
408,287,-1.0
672,326,-1.0
663,511,-1.0
797,354,-1.0
46,302,-1.0
271,200,-1.0
507,175,-1.0
879,139,-1.0
746,460,-1.0
591,330,-1.0
575,469,-1.0
45,49,-1.0
480,152,-1.0
405,488,-1.0
480,206,-1.0
116,929,-1.0
270,862,-1.0
451,779,-1.0
494,614,-1.0
404,21,-1.0
842,73,-1.0
808,313,-1.0
505,171,-1.0
191,946,-1.0
557,281,-1.0
896,167,-1.0
444,877,-1.0
174,627,-1.0
392,1072,-1.0
415,252,-1.0
647,192,-1.0
714,230,-1.0
762,229,-1.0
300,418,-1.0
17,390,-1.0
553,8,-1.0
514,685,-1.0
353,601,-1.0
925,267,-1.0
225,478,-1.0
210,526,-1.0
646,135,-1.0
424,1414,-1.0
891,766,-1.0
484,750,-1.0
458,284,-1.0
811,298,-1.0
773,185,-1.0
183,299,-1.0
873,746,-1.0
598,1012,-1.0
477,95,-1.0
286,344,-1.0
533,1052,-1.0
560,377,-1.0
417,331,-1.0
858,110,-1.0
390,326,-1.0
547,280,-1.0
292,378,-1.0
517,125,-1.0
285,283,-1.0
825,182,-1.0
746,7,-1.0
559,249,-1.0
127,1037,-1.0
644,746,-1.0
918,22,-1.0
663,316,-1.0
310,135,-1.0
251,123,-1.0
863,539,-1.0
15,937,-1.0
194,326,-1.0
296,750,-1.0
506,256,-1.0
794,149,-1.0
893,902,-1.0
351,566,-1.0
55,70,-1.0
148,336,-1.0
